text;attention
It;0.015370296
looks;0.013946237
like;0.014048047
the;0.014082519
people;0.013782717
in;0.013851277
the;0.013317838
image;0.015040943
are;0.014083492
enjoying;0.016335666
a;0.013680758
game;0.014413233
on;0.013909473
the;0.013034759
Wii,;0.024888298
which;0.01350993
could;0.013443083
be;0.013349196
part;0.013567179
of;0.01343955
a;0.013292055
team-building;0.01645475
activity;0.014943073
or;0.013627589
a;0.013240384
break;0.015498458
to;0.013659977
foster;0.014955957
a;0.01285261
positive;0.013058502
work;0.013680449
environment.;0.024286345
Companies;0.013721824
sometimes;0.013273081
use;0.01386311
gaming;0.014977012
as;0.013095206
a;0.01277035
way;0.013260674
to;0.013004006
encourage;0.01350111
collaboration,;0.014372337
relieve;0.01340959
stress,;0.015118939
and;0.012752021
improve;0.012938327
employee;0.012839387
relations.;0.016832987
It's;0.013270245
also;0.0125276
possible;0.013252709
that;0.013106221
this;0.013036655
is;0.012751622
a;0.01288014
special;0.012934068
event;0.0134683475
or;0.012591271
celebration,;0.0141519895
or;0.012521374
that;0.012530594
the;0.012734727
company;0.012576701
encourages;0.012907595
short;0.0125202825
gaming;0.012747296
breaks;0.013291719
to;0.0126517555
boost;0.0130108055
creativity;0.012683857
and;0.012339442
productivity.;0.013138382
