text;attention
There;1.9751267e-08
are;1.1689034e-08
no;1.2909246e-08
birds;1.6929476e-08
or;1.2868143e-08
clouds;2.0603201e-08
visible;1.535768e-08
in;1.3353192e-08
the;1.0918989e-08
photo;2.0605873e-08
you;1.2138293e-08
provided.;0.9999994
The;2.0302318e-08
image;1.3347513e-08
shows;1.637769e-08
a;1.164966e-08
toy;1.4875978e-08
figure;1.5988723e-08
of;1.26764235e-08
a;1.1266648e-08
surfer;1.9813942e-08
on;1.3712445e-08
a;1.0990448e-08
surfboard;1.4289288e-08
against;1.2072443e-08
a;1.0800202e-08
clear;1.13337215e-08
blue;1.0979219e-08
sky.;1.8566887e-08
If;1.3242582e-08
you're;2.1738211e-08
looking;1.1425425e-08
for;1.2967042e-08
a;1.05839355e-08
photo;1.2761259e-08
with;1.2975305e-08
birds;1.2695977e-08
and;1.1909559e-08
clouds,;1.6580607e-08
you;1.1156925e-08
may;1.0858822e-08
want;1.090646e-08
to;1.0641362e-08
try;1.1460936e-08
a;1.0420304e-08
different;1.1345531e-08
image;1.1348496e-08
or;1.1572723e-08
specify;1.3919861e-08
another;1.1156776e-08
scene;1.1356139e-08
you'd;1.1460258e-08
like;1.0382393e-08
to;1.00212425e-08
see.;1.0447788e-08
