text;attention
The;0.7566429
quote;0.006967506
on;0.004590021
the;0.0043860753
image,;0.0080757765
"""Peace,";0.040088143
Poetry,;0.014480561
and;0.0045650946
"Power,""";0.016240122
suggests;0.0059091393
that;0.0063629937
the;0.004209833
person;0.0053121974
who;0.004246167
created;0.0057135643
the;0.003931486
image;0.0046904394
values;0.009041487
peace,;0.00624769
poetry,;0.0048319497
and;0.0039854576
power;0.0048093973
in;0.004550492
their;0.004270704
life.;0.006828479
It;0.0042361864
could;0.0042370716
be;0.003865727
a;0.0040671304
personal;0.00414258
mantra;0.0058129565
or;0.0038276706
a;0.0037142886
statement;0.0042765527
expressing;0.005145065
their;0.0038338176
beliefs;0.0042979755
and;0.00357907
aspirations.;0.00398622
