text;attention
In;0.022492517
this;0.023388062
image,;0.04769141
|;0.021778975
can;0.02111579
see;0.024972163
a;0.019653033
couch,;0.04486916
a;0.021242963
chair,;0.036259957
and;0.02491749
a;0.020471016
refrigerator.;0.074942596
The;0.02247228
couch;0.022000056
is;0.03254569
brown,;0.042410024
and;0.025476696
the;0.020491477
chair;0.018000571
is;0.029581938
black.;0.07067861
The;0.022068083
refrigerator;0.023213994
is;0.028196055
white,;0.039106276
and;0.024049899
it;0.01915122
is;0.029731318
placed;0.019544225
in;0.01997494
the;0.020018414
kitchen;0.021296868
area.;0.04619626
