text;attention
It;0.014099218
looks;0.013798205
like;0.013762255
the;0.013755229
people;0.013784949
in;0.013766974
the;0.013754415
image;0.013766972
are;0.013769877
enjoying;0.017391277
a;0.013761935
game;0.013766309
on;0.0137829585
the;0.013768328
Wii,;0.013940008
which;0.013772811
could;0.013766591
be;0.013783967
part;0.013758073
of;0.013779155
a;0.013751704
team-building;0.013850579
activity;0.013769157
or;0.013777164
a;0.013770704
break;0.013770038
to;0.0137804635
foster;0.013838825
a;0.013764003
positive;0.013768471
work;0.013771892
environment.;0.013849026
Companies;0.013882212
sometimes;0.013793399
use;0.013776545
gaming;0.013821454
as;0.013778008
a;0.013764508
way;0.013763348
to;0.0137612345
encourage;0.013808305
collaboration,;0.013814835
relieve;0.013815986
stress,;0.013787361
and;0.0137505215
improve;0.013772804
employee;0.013770934
relations.;0.013824741
It's;0.01717414
also;0.013766855
possible;0.01376183
that;0.013769588
this;0.013758213
is;0.013779671
a;0.013762056
special;0.013764116
event;0.013787552
or;0.013774323
celebration,;0.013836081
or;0.013769326
that;0.013761305
the;0.013760605
company;0.0137903495
encourages;0.013834397
short;0.013765785
gaming;0.013852554
breaks;0.013781197
to;0.013813866
boost;0.0137817385
creativity;0.01385013
and;0.013770873
productivity.;0.01385576
