text;attention
The;3.452964e-06
image;2.227586e-06
depicts;1.5767399e-06
a;1.3344787e-06
man;1.3294916e-06
and;1.0629017e-06
a;1.0101148e-06
woman;1.186067e-06
sitting;9.874018e-07
on;9.154915e-07
a;1.1751446e-06
couch;1.3221733e-06
in;1.1565362e-06
a;1.3847539e-06
living;1.3e-06
room.;0.14797087
They;1.0218405e-06
are;9.465326e-07
facing;1.0753898e-06
each;8.530008e-07
other;7.800547e-07
and;9.320748e-07
appear;9.803392e-07
to;1.2449664e-06
be;9.346259e-07
engaged;8.2413067e-07
in;7.853769e-07
a;8.94622e-07
conversation;1.1266476e-06
or;9.8224e-07
watching;1.3711489e-06
something;9.843095e-07
together.;0.17947283
The;1.3721875e-06
couch;1.4446463e-06
is;1.0841427e-06
positioned;1.030645e-06
in;9.560327e-07
the;9.192869e-07
center;9.4337673e-07
of;9.1129385e-07
the;1.2052676e-06
room,;1.361235e-06
with;1.0441531e-06
a;1.096758e-06
dining;1.1583477e-06
table;1.1895152e-06
and;1.1260566e-06
a;1.0136872e-06
kitchen;1.2161094e-06
area;1.1991682e-06
visible;1.0234896e-06
in;8.8073955e-07
the;9.210173e-07
background.;0.27353844
There;1.4364613e-06
are;1.0506108e-06
several;9.1486316e-07
objects;1.4535003e-06
scattered;1.0553082e-06
around;8.985091e-07
the;1.2752645e-06
room,;3.2709904e-06
including;1.0051352e-06
a;1.0672674e-06
TV,;1.8592381e-06
a;8.922397e-07
laptop,;1.7308038e-06
a;9.1462846e-07
cell;9.148099e-07
phone,;5.07024e-06
and;9.91933e-07
a;1.0485338e-06
few;9.5137074e-07
bottles.;0.35156006
A;1.047002e-06
refrigerator;1.3813483e-06
can;8.9371645e-07
be;8.990276e-07
seen;1.0376183e-06
in;1.0477121e-06
the;1.2218708e-06
kitchen;1.196324e-06
area,;3.8235553e-06
and;1.0488948e-06
a;9.939444e-07
microwave;1.3075162e-06
is;9.1951836e-07
also;9.007448e-07
present.;1.343658e-06
The;1.3440732e-06
living;1.2044084e-06
room;1.0273408e-06
is;1.0859701e-06
furnished;1.213983e-06
with;9.91779e-07
a;1.0840527e-06
chair;1.0178451e-06
and;8.8614695e-07
a;1.1162531e-06
potted;1.1859845e-06
plant,;1.4630449e-06
adding;9.87238e-07
a;1.1033031e-06
touch;8.466428e-07
of;1.0210582e-06
greenery;1.3896922e-06
to;8.581919e-07
the;1.1033504e-06
space.;0.047329888
